id,pack_id,openset_id,name,description,body_parts,category,equipment,difficulty,common_dimensions,media,metadata,created_at,updated_at,version,source_exercise_id,source_version
07b64025-fbb2-4bae-8dba-86a714e63ffc,a0000000-0000-0000-0000-000000000001,hip_thrust,"{""en"": ""Hip Thrust"", ""hr"": ""Potisak kukovima"", ""pt"": ""Elevacao de quadril""}","{""en"": ""A glute-focused hip extension on a bench."", ""hr"": ""Ekstenzija kukova usmjerena na gluteuse."", ""pt"": ""Extensao do quadril focada nos gluteos.""}","[""lower_body""]",hinge,"[""barbell"",""bench""]",1,"[[""reps"", ""load""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/hip_thrust/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/hip_thrust/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""Barbell Hip Thrust""], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""glutes""]}",2026-03-22 20:46:15.103267+00,2026-04-01 05:48:06.757208+00,6,,
08669ec1-0a0d-405c-9dfb-8e35cb3c9e9a,a0000000-0000-0000-0000-000000000001,bench_press,"{""en"": ""Bench Press"", ""hr"": ""Potisak s klupe"", ""pt"": ""Supino reto""}","{""en"": ""Horizontal press on a flat bench with barbell."", ""hr"": ""Horizontalni potisak na ravnoj klupi."", ""pt"": ""Pressao horizontal em banco reto com barra.""}","[""upper_body""]",push,"[""barbell"",""bench""]",1,"[[""reps"", ""load""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/bench_press/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/bench_press/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""Flat Bench Press""], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""chest"", ""triceps""]}",2026-03-22 20:46:15.103267+00,2026-04-01 05:48:06.757208+00,6,,
1a4bc16f-5684-4091-823f-3865633c95aa,a0000000-0000-0000-0000-000000000001,box_jump,"{""en"": ""Box Jump"", ""hr"": ""Skok na kutiju"", ""pt"": ""Salto na caixa""}","{""en"": ""Explosive jump onto an elevated surface."", ""hr"": ""Eksplozivni skok na povisenu povrsinu."", ""pt"": ""Salto explosivo em uma superficie elevada.""}","[""lower_body""]",gait,"[""box""]",2,"[[""reps"", ""height""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/box_jump/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/box_jump/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""calves"", ""glutes"", ""quads""]}",2026-03-22 20:47:22.415233+00,2026-04-01 05:48:06.757208+00,6,,
23157c8c-da1a-4cb3-a4bd-a82551aad104,a0000000-0000-0000-0000-000000000001,goblet_squat,"{""en"": ""Goblet Squat"", ""hr"": ""Goblet cucanj"", ""pt"": ""Agachamento goblet""}","{""en"": ""A squat holding a dumbbell or kettlebell at the chest."", ""hr"": ""Cucanj s bucicama ili girjom na prsima."", ""pt"": ""Agachamento segurando halter ou kettlebell no peito.""}","[""lower_body""]",squat,"[""dumbbell"",""kettlebell""]",1,"[[""reps"", ""load""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/goblet_squat/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/goblet_squat/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""Dumbbell Goblet Squat""], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""glutes"", ""quads""]}",2026-03-22 20:46:15.103267+00,2026-04-01 05:48:06.757208+00,6,,
2a017c9b-0a72-4cd6-95ab-83d26efa11a8,a0000000-0000-0000-0000-000000000001,lat_pulldown,"{""en"": ""Lat Pulldown"", ""hr"": ""Povlacenje na lat masini"", ""pt"": ""Puxada na polia""}","{""en"": ""Machine vertical pull for lats."", ""hr"": ""Vertikalno povlacenje na masini za siroki leni misic."", ""pt"": ""Puxada vertical em maquina para dorsal.""}","[""upper_body""]",pull,"[""cable_machine""]",1,"[[""reps"", ""load""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/lat_pulldown/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/lat_pulldown/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""Cable Lat Pulldown""], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""lats""]}",2026-03-22 20:46:15.103267+00,2026-04-01 05:48:06.757208+00,5,,
32df6e7f-47f6-422d-b946-b0ffd7af582f,a0000000-0000-0000-0000-000000000001,side_plank,"{""en"": ""Side Plank"", ""hr"": ""Bocna daska"", ""pt"": ""Prancha lateral""}","{""en"": ""Lateral isometric core hold on one forearm."", ""hr"": ""Bocno izometrijsko drzanje na jednoj podlaktici."", ""pt"": ""Exercicio isometrico lateral de core em um antebraco.""}","[""core""]",rotation,[],1,"[[""duration"", ""sides""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/side_plank/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/side_plank/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""Side Bridge""], ""mechanic"": ""compound"", ""laterality"": ""unilateral"", ""target_muscles"": [""abs"", ""core""]}",2026-03-22 20:47:22.415233+00,2026-04-01 05:48:06.757208+00,6,,
32e1d807-4cc6-429a-ad34-f06f60ea9dcf,a0000000-0000-0000-0000-000000000001,dumbbell_bench_press,"{""en"": ""Dumbbell Bench Press"", ""hr"": ""Potisak s bucicama"", ""pt"": ""Supino com halteres""}","{""en"": ""Flat bench press with dumbbells."", ""hr"": ""Potisak s ravne klupe s bucicama."", ""pt"": ""Supino reto com halteres.""}","[""upper_body""]",push,"[""dumbbell"",""bench""]",1,"[[""reps"", ""load""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/dumbbell_bench_press/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/dumbbell_bench_press/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""DB Bench Press""], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""chest"", ""triceps""]}",2026-03-22 20:46:15.103267+00,2026-04-01 05:48:06.757208+00,6,,
346f9ad5-cc5d-4013-b0aa-6f27b34578ed,a0000000-0000-0000-0000-000000000001,deadlift,"{""en"": ""Deadlift"", ""hr"": ""Mrtvo dizanje"", ""pt"": ""Levantamento terra""}","{""en"": ""A hip hinge lifting a barbell from the floor."", ""hr"": ""Pokret u kukovima podizanje sipke s poda."", ""pt"": ""Movimento de articulacao do quadril levantando a barra do chao.""}","[""lower_body""]",hinge,"[""barbell""]",2,"[[""reps"", ""load""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/deadlift/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/deadlift/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""Conventional Deadlift""], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""glutes"", ""hamstrings"", ""lower_back""]}",2026-03-22 20:46:15.103267+00,2026-04-01 05:48:06.757208+00,6,,
388a3ba4-9263-4f6c-b364-df8a2466e8b4,a0000000-0000-0000-0000-000000000001,kettlebell_swing,"{""en"": ""Kettlebell Swing"", ""hr"": ""Zamah girjom"", ""pt"": ""Swing com kettlebell""}","{""en"": ""An explosive hinge driving a kettlebell forward."", ""hr"": ""Eksplozivni pokret u kukovima s girjom."", ""pt"": ""Movimento explosivo de articulacao com kettlebell.""}","[""full_body""]",hinge,"[""kettlebell""]",2,"[[""reps"", ""load""], [""duration""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/kettlebell_swing/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/kettlebell_swing/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""KB Swing""], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""glutes"", ""hamstrings""]}",2026-03-22 20:46:15.103267+00,2026-04-01 05:48:06.757208+00,5,,
3ea325e9-9e37-4242-9806-88610149f35a,a0000000-0000-0000-0000-000000000001,jump_rope,"{""en"": ""Jump Rope"", ""hr"": ""Preskakanje uzeta"", ""pt"": ""Pular corda""}","{""en"": ""Jumping over a rope for coordination and conditioning."", ""hr"": ""Preskakanje uzeta za koordinaciju i kondiciju."", ""pt"": ""Pular corda para coordenacao e condicionamento.""}","[""cardio""]",gait,"[""jump_rope""]",1,"[[""duration""], [""reps""], [""calories""]]","{""photos"": [{""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/jump_rope/0.jpg"", ""label"": ""Starting position""}, {""url"": ""https://cqczelynlsuxotovhxoq.supabase.co/storage/v1/object/public/media/openset/exercises/jump_rope/1.jpg"", ""label"": ""End position""}]}","{""aliases"": [""Skipping""], ""mechanic"": ""compound"", ""laterality"": ""bilateral"", ""target_muscles"": [""calves"", ""quads""]}",2026-03-22 20:47:22.415233+00,2026-04-01 05:48:06.757208+00,6,,
